Bases	Contigs	Depth	N50
96485519	6	18.08	5015636
96584940	6	18.10	5015636
96721857	6	18.13	5015636
96811131	6	18.14	5015636
96954863	6	18.17	5015636
97122028	6	18.20	5015636
97223258	6	18.22	5015636
97355548	6	18.25	5015636
97367174	6	18.25	5015636
97439433	6	18.26	5015636
97616639	6	18.29	5015636
97731933	6	18.32	5015636
97898920	6	18.35	5015636
97978398	6	18.36	5015636
97994426	6	18.36	5015636
98100785	6	18.38	5015636
98282433	6	18.42	5015636
98498000	6	18.46	5015636
98601543	6	18.48	5015636
98737255	6	18.50	5015636
98823616	6	18.52	5015636
98848815	6	18.52	5015636
98992058	6	18.55	5015636
99162564	6	18.58	5015636
99287609	6	18.61	5015636
99337742	6	18.62	5015636
99405572	6	18.63	5015636
99553933	6	18.66	5015636
99688774	6	18.68	5015636
99780276	6	18.70	5015636
99893524	6	18.72	5015636
100040815	6	18.75	5015636
100102608	6	18.76	5015636
100268145	6	18.79	5015636
100352052	6	18.81	5015636
100515931	6	18.84	5015636
100671097	6	18.87	5015636
100805394	6	18.89	5015636
100932916	6	18.92	5015636
101026924	6	18.93	5015636
101102717	6	18.95	5015636
101183813	6	18.96	5015636
101366860	6	19.00	5015636
101398704	6	19.00	5015636
101532363	6	19.03	5015636
101673057	6	19.05	5015636
101882529	6	19.09	5015636
101960062	6	19.11	5015636
102002086	6	19.12	5015636
102128871	6	19.14	5015636
102190343	6	19.15	5015636
102281634	6	19.17	5015636
102346775	6	19.18	5015636
102474636	6	19.20	5015636
102635949	6	19.23	5015636
102819044	6	19.27	5015636
102893400	6	19.28	5015636
102995137	6	19.30	5015636
103046441	6	19.31	5015636
103223074	6	19.34	5015636
103309585	6	19.36	5015636
103407936	6	19.38	5015636
103441567	6	19.39	5015636
103505727	6	19.40	5015636
103581121	6	19.41	5015636
103660270	6	19.43	5015636
103737934	6	19.44	5015636
103934896	6	19.48	5015636
104002895	6	19.49	5015636
104156046	6	19.52	5015636
104273182	7	19.54	5015636
104365190	7	19.56	5015636
104506057	7	19.59	5015636
104632216	7	19.61	5015636
104721824	7	19.63	5015636
104894623	7	19.66	5015636
104894623	7	19.66	5015636
104923923	7	19.66	5015636
104995837	7	19.68	5015636
105094391	7	19.70	5015636
105151980	7	19.71	5015636
105186717	7	19.71	5015636
105345524	7	19.74	5015636
105463556	7	19.76	5015636
105570418	7	19.78	5015636
105630524	7	19.80	5015636
105749910	7	19.82	5015636
105851341	7	19.84	5015636
106025838	7	19.87	5015636
106119352	7	19.89	5015636
106199628	7	19.90	5015636
106336310	7	19.93	5015636
106466442	7	19.95	5015636
106628809	7	19.98	5015636
106769546	7	20.01	5015636
106856789	7	20.03	5015636
106992061	7	20.05	5015636
107030235	7	20.06	5015636
107164861	7	20.08	5015636
107314147	7	20.11	5015636
107471586	7	20.14	5015636
107626234	7	20.17	5015636
107722450	7	20.19	5015636
107837290	7	20.21	5015636
107873870	7	20.22	5015636
107972464	7	20.23	5015636
108161033	7	20.27	5015636
108283664	7	20.29	5015636
108424965	7	20.32	5015636
