Genome,Method,Bases,Contigs,Depth,N50
citrobacter-freundii_CAV1741,npScarf,37174446,5,6.97,5013097
citrobacter-freundii_CAV1741,npScarf,37349825,5,7,5013097
citrobacter-freundii_CAV1741,npScarf,37474782,5,7.02,5013097
citrobacter-freundii_CAV1741,npScarf,37597665,5,7.05,5013097
citrobacter-freundii_CAV1741,npScarf,37685335,5,7.06,5013097
citrobacter-freundii_CAV1741,npScarf,37725034,5,7.07,5013097
citrobacter-freundii_CAV1741,npScarf,37845666,5,7.09,5013097
citrobacter-freundii_CAV1741,npScarf,37961891,5,7.11,5013097
citrobacter-freundii_CAV1741,npScarf,38105433,5,7.14,5013097
citrobacter-freundii_CAV1741,npScarf,38105433,5,7.14,5013097
citrobacter-freundii_CAV1741,npScarf,38295423,5,7.18,5013097
citrobacter-freundii_CAV1741,npScarf,38311752,5,7.18,5013097
citrobacter-freundii_CAV1741,npScarf,38334815,5,7.18,5013097
citrobacter-freundii_CAV1741,npScarf,38512287,5,7.22,5013097
citrobacter-freundii_CAV1741,npScarf,38660686,5,7.25,5013097
citrobacter-freundii_CAV1741,npScarf,38686714,5,7.25,5013097
citrobacter-freundii_CAV1741,npScarf,38776316,5,7.27,5013097
citrobacter-freundii_CAV1741,npScarf,38822062,5,7.28,5013097
citrobacter-freundii_CAV1741,npScarf,38894366,5,7.29,5013097
citrobacter-freundii_CAV1741,npScarf,38914535,5,7.29,5013097
citrobacter-freundii_CAV1741,npScarf,39013513,5,7.31,5013097
citrobacter-freundii_CAV1741,npScarf,39102707,5,7.33,5013097
citrobacter-freundii_CAV1741,npScarf,39199220,5,7.35,5013097
citrobacter-freundii_CAV1741,npScarf,39336361,5,7.37,5013097
citrobacter-freundii_CAV1741,npScarf,39471165,5,7.4,5013097
citrobacter-freundii_CAV1741,npScarf,39592659,5,7.42,5013097
citrobacter-freundii_CAV1741,npScarf,39623486,5,7.43,5013097
citrobacter-freundii_CAV1741,npScarf,39772124,5,7.45,5013097
citrobacter-freundii_CAV1741,npScarf,39853511,5,7.47,5013097
citrobacter-freundii_CAV1741,npScarf,39982228,5,7.49,5013097
citrobacter-freundii_CAV1741,npScarf,40150916,5,7.52,5013097
citrobacter-freundii_CAV1741,npScarf,40251219,5,7.54,5013097
citrobacter-freundii_CAV1741,npScarf,40423244,5,7.58,5013097
citrobacter-freundii_CAV1741,npScarf,40525123,5,7.59,5013097
citrobacter-freundii_CAV1741,npScarf,40627186,5,7.61,5013097
citrobacter-freundii_CAV1741,npScarf,40721981,5,7.63,5013097
citrobacter-freundii_CAV1741,npScarf,40814654,5,7.65,5013097
citrobacter-freundii_CAV1741,npScarf,41024171,5,7.69,5013097
